,Title_id,Title,Artist_id,Album_id
0,1,Autumn Leaves,1,1
1,2,Love For Sale,2,2
2,3,The Sea Serpent,3,3
3,4,Smoke Gets in Your Eyes,4,4
4,5,Indian Summer,5,5
5,6,Misty,6,6
6,7,Star Crossed Lovers,7,7
7,8,I Let a Song Go Out of My Heart,8,8
8,9,(I Don't Stand ) A Ghost of a Chance (With You),9,9
9,10,Ain't Misbehavin',10,10
10,11,Blues for Shirley,11,11
11,12,The Shadow of Your Smile,12,12
12,13,Black Rose,13,13
13,14,On Green Dolphin Street,14,14
14,15,Love Walked In,15,15
15,16,It's Bad to Be Forgotten,16,16
16,17,My Ideal,17,17
17,18,Delilah,18,18
18,19,You'd Be So Nice To Come Home To,19,19
19,20,"Kids Are Pretty People (feat. Benny Golson, Bob Brookmeyer, Frank Wess, James Moody, Jimmy Owens & Richard Davis)",20,20
20,21,How Deep is The Ocean,21,21
21,22,"The Sweet Time Suite: Pt. 2, For H. / Pt. 3, For Jan",22,22
22,23,Me Deixa,23,23
23,24,Vivo Sonhando,24,24
24,25,Corcovado,25,25
25,26,Tres Palabras (feat. Coleman Hawkins),26,26
26,27,Favela (live),27,27
27,28,Piza Na Fulô,28,28
28,29,Inútil Paisagem,29,29
29,30,Cancao Do Nosso Amor,30,30
30,31,Joya,31,31
31,32,De Frente Pro Crime,23,23
32,33,Dá Licença,23,23
33,34,Promessa Ao Gantois,23,23
34,35,Lamento do Capoeira,32,32
35,36,Algum Lugar,33,33
36,37,As Dores do Mundo,34,34
37,38,Let's Have a Ball Tonight,35,35
38,39,Tio Macrô,36,36
39,40,"Moeda, Reza e Cor",37,37
40,41,Mixing Pot (Tacho),38,38
41,42,Bebe,39,39
42,43,Hermeto,40,40
43,44,Nada Sei de Preconceito,41,41
44,45,Madelena,42,42
45,46,Bicho do Mato,43,43
46,47,Mister Samba,44,44
47,48,Aquele Um,45,45
48,49,A Paraíba Não é Chicago,46,46
49,50,Curimão,47,47
