Title,Artist,Album
Autumn Leaves,Bill Evans Trio,Portrait in Jazz
Love For Sale,Tommy Flanagan,Coleman Hawkins: Body and Soul (West Wind)
The Sea Serpent,Tom Harrell,Prana Dance
Smoke Gets in Your Eyes,Cedar Walton,The Promise Land
Indian Summer,Red Holloway,Coast to Coast
Misty,Wes Montgomery & Wynton Kelly Trio,Smokin' At The Half Note (Expanded Edition)
Star Crossed Lovers,Randy Weston,Live At the Five Spot
I Let a Song Go Out of My Heart,Thelonious Monk,Plays Duke Ellington
(I Don't Stand ) A Ghost of a Chance (With You),Erroll Garner,The Complete Savoy Master Takes
Ain't Misbehavin',Sarah Vaughan,The Divine Sarah Vaughan: The Columbia Years 1949-1953
Blues for Shirley,Ezra Weiss,The Shirley Horn Suite
The Shadow of Your Smile,Eddie Harris,The In Sound
Black Rose,Gerald Wilson,Big Band Modern
On Green Dolphin Street,Herbie Hancock,The Piano
Love Walked In,George Shearing,"Light, Airy & Swinging"
It's Bad to Be Forgotten,Duke Ellington,Piano In the Foreground
My Ideal,Kenny Dorham,Quiet Kenny
Delilah,Clifford Brown & Max Roach Quintet,Clifford Brown And Max Roach
You'd Be So Nice To Come Home To,Coleman Hawkins & Ben Webster,Coleman Hawkins Encounters Ben Webster
"Kids Are Pretty People (feat. Benny Golson, Bob Brookmeyer, Frank Wess, James Moody, Jimmy Owens & Richard Davis)",Hank Jones,"One More: The Music of Thad Jones (feat. Benny Golson, Bob Brookmeyer, Frank Wess, James Moody, Jimmy Owens & Richard Davis)"
How Deep is The Ocean,Chet Baker & Paul Bley,Diane
"The Sweet Time Suite: Pt. 2, For H. / Pt. 3, For Jan",Kenny Wheeler,Music for Large and Small Ensembles
Me Deixa,Blank,Blank
Vivo Sonhando,Eumir Deodato,As Maiores Composições de Antonio Carlos Jobim
Corcovado,Miles Davis,Quiet Nights
Tres Palabras (feat. Coleman Hawkins),Kenny Burrell,Bluesy Burrell (Rudy Van Gelder Remaster) [feat. Coleman Hawkins]
Favela (live),Vince Guaraldi & Bola Sete,Live at El Matador
Piza Na Fulô,Bonga,Raizes
Inútil Paisagem,Pery Ribeiro,Pery (feat. Primo Quinteto & Breno Sauer)
Cancao Do Nosso Amor,Sergio Mendes & Brasil '66,Stillness
Joya,Joyce,Passarinho Urbano
De Frente Pro Crime,Blank,Blank
Dá Licença,Blank,Blank
Promessa Ao Gantois,Blank,Blank
Lamento do Capoeira,Paulo Freire,Sambas Em Estéreo
Algum Lugar,Marilia Medalha,A Canção e a Voz de Marília Medalha Na Poesia de Vinicius de Moraes
As Dores do Mundo,Hyldon,"Na Rua, Na Chuva, Na Fazenda (Edição Especial de 30 Años)"
Let's Have a Ball Tonight,Tim Maia,World Psychedelic Classics 4: Nobody Can Live Forever - The Existential Soul of Tim Maia
Tio Macrô,Dom Salvador,Dom Salvador
"Moeda, Reza e Cor",Dom Salvador & Abolição,Série Samba Soul
Mixing Pot (Tacho),Hermeto Pascoal,Slaves Mass
Bebe,Airto,Natural Feelings
Hermeto,Hermeto Paschoal,Hermeto
Nada Sei de Preconceito,Djalma Dias,Não Faça Drama
Madelena,Dila,Dila
Bicho do Mato,Elis Regina,Em Pleno Verão
Mister Samba,Alcione,Vamos Arrepiar
Aquele Um,Djavan,Alumbramento / Djavan
A Paraíba Não é Chicago,Marcos Valle,Vontade de Rever Você
Curimão,Fernando Falcão,Memória das Águas
